Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
Crafts & Meister,Japan,Osaka (Japan),2004,~50-80,co-dev / Gundam,https://www.crafts-meister.co.jp,unknown,co-dev; action,Mobile Suit Gundam Extreme Vs.; Gundam Battle; Bandai Namco fighters; Crafts & Meister; various Bandai,unknown,office,independent,Osaka co-dev.
Creatures Inc.,Japan,Tokyo (Japan),1995,~200+,Pokémon team member,https://www.creatures.co.jp,unknown,IP / development,Pokémon Ranger; card game support; Hey You Pikachu!,unknown,office,Pokémon Company partner,TPC triangle's third leg.
CyberAgent,Japan,Tokyo (Japan),1998,thousands (group),internet + game,https://www.cyberagent.co.jp,unknown,holding,Cygames parent ecosystem; Abema entertainment; CyberAgent games investment; Tokyo digital; Cygames parent company,unknown,office,public (Tokyo),Cygames parent company.
CyberConnect2,Japan,Fukuoka (Japan),1996,~200-300,Naruto Ultimate Ninja; .hack,https://www.cc2.co.jp,unknown,action / anime,Naruto Storm; Asura's Wrath; .hack; Naruto UNS; Little Noah; Fugue,unknown,office,independent,Fukuoka anime-action.
Cygames,Japan,Tokyo (Japan),2011,~2000+,Uma Musume / Granblue,https://www.cygames.co.jp,press@cygames.co.jp (press),mobile / console,Uma Musume; Granblue Fantasy; Princess Connect; Shadowverse; Granblue Fantasy Versus,unknown,office,CyberAgent,Japanese mobile IP powerhouse; Uma Musume and Granblue.
DeNA,Japan,Tokyo (Japan),1999,~2000+,mobile + sports/other,https://dena.com,pr@dena.com (press),mobile; publishing partnerships,Mobage; Mario Kart Tour partnership; Pokémon Masters EX; Final Fantasy Record Keeper; Mobage platform history; Nintendo partnerships,unknown,office,public (Tokyo),Mobage pioneer; Nintendo/Pokémon mobile partnerships.
Dimps,Japan,Osaka (Japan),2000,~150-250,Dragon Ball; Street Fighter support,https://www.dimps.co.jp,unknown,fighting / action,Dragon Ball Sparking! Zero (collab); Street Fighter IV (collab); Dragon Ball FighterZ (with ArcSys); SFIV support; historical Sonic support; Dragon Ball FighterZ (ArcSys ile); SFIV destek; Sonic destek tarihsel,unknown,office,independent,Osaka fighting/action co-dev.
DMM Games,Japan,Tokyo (Japan),—,DMM group,platform + game,https://games.dmm.com,unknown,platform / publishing,Touken Ranbu; DMM GAMES platform; adult/PC publishing; DMM catalog; various PC/mobile,unknown,office,DMM.com,Japanese digital platform.
Drecom,Japan,Tokyo (Japan),2001,~300+,mobile / publishing,https://www.drecom.co.jp,unknown,mobile; publishing,Rakugaki Kingdom; Drecom online; Japanese publishing; Drecom mobile,unknown,office,public,Japanese mobile/publishing.
Epic Games Japan,Japan,Tokyo (Japan),—,in Epic,UE / Fortnite JP,https://www.epicgames.com,press@epicgames.com (press),engine / support,Unreal Engine Japan; Fortnite JP support; Unreal Engine Japonya,unknown,office,Epic Games,Epic's Japan office for Unreal and Fortnite regional ops.
feelplus (tarihsel),Japan,Tokyo (Japan),2002-2012,closed,Lost Odyssey; Ninety-Nine Nights,,unknown,JRPG / action,Lost Odyssey; Eternal Sonata support; Microsoft Japan RPG era; feelplus catalog,-,-,closed (Microsoft related),Historical Xbox JRPG.
Felistella,Japan,Tokyo / Hyogo (Japan),2010,~30-50,co-dev / JRPG support,https://www.felistella.co.jp,unknown,co-dev,Atelier support; Gust co-dev; Felistella JRPG; Koei Tecmo partners; various JRPG co-dev,unknown,office,independent,Japanese co-dev studio.
French-Bread,Japan,Tokyo (Japan),1993,~30-50,Melty Blood; Under Night,https://www.french-bread.net,unknown,fighting,Melty Blood: Type Lumina; Under Night In-Birth; Dengeki Bunko Fighting Climax; French-Bread fighters; Melty Blood,unknown,office,independent,Niche fighting studio.
FromSoftware,Japan,Tokyo (Japan),1986,~400+,Elden Ring / Souls,https://www.fromsoftware.jp,press@fromsoftware.jp (press),action-RPG,Elden Ring; Dark Souls III; Sekiro; Armored Core VI; Bloodborne; Nightreign; Dark Souls; Armored Core,unknown,office,Kadokawa affiliated,Studio that defined the souls-like genre; Elden Ring peak reach.
Game Freak,Japan,Tokyo (Japan),1989,~150–200,Pokémon main series,https://www.gamefreak.co.jp,press@pokemon.com (press),JRPG,Pokémon Scarlet/Violet; Legends Arceus; Legends: Arceus; Sword/Shield; Pokémon main series games,unknown,office,independent (TPCi partnership),Mainline Pokémon developer alongside The Pokémon Company.
Genius Sonority,Japan,Tokyo (Japan),2002,~50-80,Pokémon puzzle / RPG support,https://www.geniussonority.co.jp,info@geniussonority.co.jp (general),puzzle / RPG,Pokémon Trozei; Pokémon Battle Revolution; Pokémon Shuffle; Pokémon Café ReMix,unknown,office,independent,Pokémon spin-off games.
Good-Feel,Japan,Tokyo (Japan),2005,~50-100,Yoshi; Kirby support,https://www.good-feel.co.jp,press@noa.nintendo.com (press),platform,Yoshi's Crafted World; Kirby Rainbow Curse; Yoshi's Woolly World; Kirby's Extra Epic Yarn,unknown,office,independent (Nintendo publishing),Handmade visual platform.
Grasshopper Manufacture,Japan,Tokyo (Japan),1998,~50–100,unknown,https://www.grasshopper.co.jp,contact@grasshopper.co.jp (general); recruit@grasshopper.co.jp (HR); press@neteasegames.com (press),action / weird,No More Heroes; Killer7; Shadows of the Damned,unknown,office,NetEase (acquisition),Suda51 studio.
Grezzo,Japan,Tokyo (Japan),2006,~100-150,Zelda remaster / Link's Awakening,https://www.grezzo.co.jp,press@noa.nintendo.com (press),action-adventure,Zelda: Link's Awakening; Majora's Mask 3D; Link's Awakening remake; Ocarina 3D,unknown,office,independent (Nintendo publishing),Zelda remaster expert.
gumi,Japan,Tokyo (Japan),2007,~700+,mobile / blockchain experiments,https://www.gu3.co.jp,press@gu3.co.jp (press),mobile RPG / publishing,Brave Frontier; Destiny Child; gumi gacha catalog; Tokyo midcore; Various gacha; VR/blockchain initiatives,unknown,office,public (Tokyo),Japanese mobile publishing.
GungHo Online,Japan,Tokyo (Japan),2002,~1000+,Puzzle & Dragons,https://www.gungho.co.jp,press@gungho.jp (press),mobile puzzle-RPG,Puzzle & Dragons; Ragnarok Mobile partnerships; GungHo publishing; Japanese puzzle RPG,unknown,office,public (Tokyo),Early mobile revenue giant.
Gust (Koei Tecmo),Japan,Nagano (Japan),1993,~150+,Atelier; Nights of Azure,https://www.gust.co.jp,press@koeitecmo.co.jp (press),JRPG,Atelier Ryza; Atelier Sophie; Blue Reflection; Atelier series; Atelier serisi,unknown,office,Koei Tecmo,Alchemist JRPG line.
HAL Laboratory,Japan,Tokyo / Kyoto (Japan),1980,~200+,Kirby; Super Smash Bros (historical),https://www.hallab.co.jp,press@noa.nintendo.com (press),first-party platform / fighting,Kirby and the Forgotten Land; Smash Bros Ultimate (collab); Smash Bros. Ultimate (collab); BoxBoy!; Kirby; EarthBound (historical); Smash (with Sora); EarthBound (tarihsel),unknown,office,Nintendo close,Kirby house.
Happy Elements,Japan,Tokyo (Japan) / Beijing roots,2009,~500+,Ensemble Stars,https://www.happyelements.co.jp,unknown,mobile idol / RPG,Ensemble Stars!; Mermaid Miracle; Happy Elements idols; China/Japan mobile,unknown,office,private,Idol games.
Idea Factory,Japan,Tokyo (Japan),1994,~200+,automate / publishing,https://www.ideaf.co.jp,press@ideafintl.com (press),JRPG / otome / publishing,Hyperdimension Neptunia; Death end re; Quest; Mary Skelter; Idea Factory otome/publishing; Neptunia (publisher); otome games,unknown,office,public seasonal,Neptunia publisher and otome/JRPG specialist (Japan).
Intelligent Systems,Japan,Kyoto (Japan),1986,~150–200,Fire Emblem; Paper Mario collaboration,https://www.intsys.co.jp,recruit@intsys.co.jp (HR); press@noa.nintendo.com (press),strategy-RPG / first-party,Fire Emblem Engage; Paper Mario TTYD; Fire Emblem: Three Houses; Fire Emblem; WarioWare (joint periods),unknown,office,Nintendo close partner,FE franchise.
Japan Studio (tarihsel),Japan,Tokyo (Japan),1993-2021,closed / Team Asobi sequel,Astro; Gravity Rush; Bloodborne support,https://www.playstation.com,press@playstation.com (press),first-party,Astro Bot roots; Team Ico support (legacy); Gravity Rush; Knack,-,-,Sony (restructuring),Team Asobi sequel in separate record.
KLab,Japan,Tokyo (Japan),2000,~1000+,mobile license,https://www.klab.com,press@klab.com (press),mobile; anime IP,Captain Tsubasa: Dream Team; Bleach: Brave Souls; Love Live! School Idol Festival; KLab mobile; Captain Tsubasa M; Bleach mobile periods,unknown,office,public (Tokyo),"Tokyo mobile specialist (Captain Tsubasa, Bleach Brave Souls)."
Koei Tecmo,Japan,Yokohama (Japan),1978 / 2009 merger,~2500+,Dynasty Warriors; Nioh; Wo Long,https://www.koeitecmo.co.jp,press@koeitecmo.co.jp (press),action; sim,Nioh 2; Dynasty Warriors; Rise of the Ronin; Dead or Alive 6; Wo Long; Atelier Ryza; Nioh; Dead or Alive,unknown,office,public (Tokyo),Omega Force / Team Ninja / Gust multi-brand Japanese publisher.
Konami,Japan,Tokyo (Japan),1969,~7000+ (group; also non-gaming),PES/eFootball; pachinko weight,https://www.konami.com,press@konami.com (press),sports; horror IP; arcade,Silent Hill 2; eFootball; Yu-Gi-Oh! Master Duel; Super Bomberman R; Metal Gear Solid (legacy); Castlevania (legacy); Metal Gear (historical); Silent Hill (remake),unknown,office,public (Tokyo),Games + entertainment holding; Silent Hill remake era and eFootball.
Lasengle,Japan,Tokyo (Japan),2021,~200+,Fate/Grand Order,https://www.lasengle.co.jp,press@aniplex.co.jp (press); support_ja@typelumina.com (support),mobile gacha RPG,Fate/Grand Order; Lasengle DELiGHTWORKS successor; Type-Moon mobile; FGO live ops,unknown,office,Aniplex / Sony,FGO operation studio.
Level-5,Japan,Fukuoka (Japan),1998,~300 range,unknown,https://www.level5.co.jp,press@level5.co.jp (press),JRPG / children,Professor Layton; Yo-Kai Watch; Ni no Kuni; Fantasy Life; Inazuma Eleven; Ni no Kuni (joint); Ni no Kuni (ortak),unknown,office,independent,"Fukuoka studio; Layton, Yo-Kai Watch, Ni no Kuni."
Luminous Productions,Japan,Tokyo (Japan),2018-2023,closed / SE merged,Forspoken,https://luminousproductions.square-enix.com,unknown,AAA action,Final Fantasy XV; Forspoken; Final Fantasy XV engine legacy,-,-,closed (Square Enix),Historical SE studio; 2023 merger.
Marvelous,Japan,Tokyo (Japan),1997,~700+ (group),Story of Seasons; Daemon X,https://www.marvelous.games,press@marvelous.co.jp (press),sim / action; publishing,Story of Seasons; Rune Factory; Fate/Samurai Remnant; Fate/Samurai Remnant (publishing),unknown,office,public (Tokyo),Farming sim + publisher.
Mistwalker,Japan,Tokyo (Japan) / Honolulu,2004,~50-100,Blue Dragon; Fantasian,https://mistwalkercorp.com,unknown,JRPG,Blue Dragon; Lost Odyssey (publishing); Fantasian,unknown,hybrid,independent (Sakaguchi),Hironobu Sakaguchi studio.
Mixi / XFLAG,Japan,Tokyo (Japan),1999 (Mixi); XFLAG 2011,~1000+,Monster Strike,https://xflag.com,unknown,mobile action-puzzle,Monster Strike; MIXI sports apps; XFLAG arcade RPG; Japanese hit mobile,unknown,office,Mixi,Monster Strike revenue legend.
Monolith Soft,Japan,Tokyo / Kyoto (Japan),1999,~250–300,Xenoblade,https://www.monolithsoft.co.jp,press@noa.nintendo.com (press),JRPG / open world,Xenoblade Chronicles 3; Xenoblade 2; Xenoblade Chronicles 2; Xenoblade DE; Xenoblade Chronicles; (historical) Xenosaga; (tarihsel) Xenosaga,unknown,office,Nintendo,Nintendo first-party JRPG powerhouse.
Nd Cube,Japan,Tokyo / Sapporo (Japan),2000,~100-150,Mario Party,https://www.ndcube.co.jp,press@noa.nintendo.com (press),party,Super Mario Party Jamboree; Mario Party Superstars; Mario Party series; Mario Party serisi,unknown,office,Nintendo majority,Mario Party studio.
Neverland (tarihsel),Japan,Tokyo (Japan),1993-2013,closed,Lufia; Rune Factory early,,unknown,JRPG,Lufia: Curse of the Sinistrals; Spectral Force; Rune Factory support eras; Neverland JRPG; Lufia,-,-,closed,Historical JRPG studio.
Next Level Games,Japan,"Vancouver, BC (Canada; Nintendo)",2002,~150–200,Luigi's Mansion,https://www.nextlevelgames.com,info@nextlevelgames.com (general); press@noa.nintendo.com (press),action-adventure,Luigi's Mansion 3; Mario Strikers: Battle League; Punch-Out!!; Luigi's Mansion: Dark Moon; Mario Strikers,unknown,office,Nintendo,2021 Nintendo acquisition.
Nihon Falcom,Japan,"Tachikawa, Tokyo (Japan)",1981,~50-80,Ys; Trails / Kiseki,https://www.falcom.co.jp,press@falcom.co.jp (press),JRPG,Trails series; Ys VIII; Ys X; Tokyo Xanadu; Ys; The Legend of Heroes: Trails,unknown,office,public (Tokyo),Classic JRPG studio.
Nintendo,Japan,Kyoto (Japan),1889,~7000+,console + software; very high profit margin,https://www.nintendo.com,press@noa.nintendo.com (press),platform; first party,Mario Odyssey; Zelda TotK; Splatoon 3; Animal Crossing; Super Mario Odyssey; Zelda: Tears of the Kingdom; Pokémon; Animal Crossing: New Horizons,rarely / competitive,office,public (Tokyo),Hardware+software integrated model; Switch installed base drives first-party IP.
Nintendo EAD Tokyo (tarihsel),Japan,Tokyo (Japan),1997-2015,Merged with EPD,Mario Galaxy; Smashville,https://www.nintendo.com,press@noa.nintendo.com (press),first-party,Super Mario Galaxy; Nintendogs; Splatoon roots,-,-,Nintendo (EPD),Historical EAD Tokyo; EPD continuation.
Nintendo EPD,Japan,Kyoto (Japan),2015 (EAD/SPD merger),thousands of bands,Mario; Zelda; Nintendo first-party,https://www.nintendo.com,press@noa.nintendo.com (press),first-party,Breath of the Wild; Tears of the Kingdom; Mario Odyssey; Splatoon 3; Animal Crossing; Splatoon,unknown,office,Nintendo,Nintendo internal development unit behind Zelda/Mario/Splatoon pillars.
Nintendo Software Technology,Japan,"Redmond, WA (USA)",1998,~100-150,Nintendo US development,https://www.nintendo.com,press@noa.nintendo.com (press),first-party / support,Mario vs. Donkey Kong; Metroid Prime Hunters support eras; NST Seattle; Nintendo first-party,unknown,office,Nintendo,Nintendo's Seattle first-party studio (Mario vs. Donkey Kong).
Nintendo Treehouse,Japan,"Redmond, WA (USA)",—,Nintendo of America internal,localization / preparation for publishing,https://www.nintendo.com,press@noa.nintendo.com (press),localization; marketing,Western localization; Treehouse Live; Nintendo west localization,unknown,office,Nintendo,Western expansion / Treehouse presentations.
Nippon Ichi Software,Japan,Gifu / Tokyo (Japan),1993,~200+,Disgaea,https://www.nipponichi.jp,press@nippon1.co.jp (press),strategy-RPG,Disgaea 7; Prinny; Labyrinth of Refrain; Disgaea,unknown,office,public (Tokyo),SRPG niche.
Omega Force (Koei Tecmo),Japan,Yokohama (Japan),1996,Inside Koei,Musou formula,https://www.koeitecmo.co.jp,press@koeitecmo.co.jp (press),action (musou),Dynasty Warriors; Hyrule Warriors; Persona 5 Strikers; Hyrule Warriors (joint); Hyrule Warriors (ortak),unknown,office,Koei Tecmo,Owner of the Musou genre.
Otomate,Japan,Tokyo (Japan),2009 (within Idea Factory),Inside Idea Factory,otome publishing,https://www.otomate.jp,press@ideafintl.com (press),otome,Hakuoki; Amnesia; Collar x Malice; Olympia Soiree; various otome,unknown,office,Idea Factory,"Idea Factory otome label (Hakuoki, Amnesia, Collar x Malice)."
Paon DP,Japan,Tokyo (Japan),2015 (Paon+DP),~50-100,DKCR support historical / co-dev,https://www.paondp.jp,unknown,co-dev,Donkey Kong support eras; Nintendo co-dev; Paon DP ports; Japanese work-for-hire; various Nintendo/co-dev,unknown,office,independent,Japan co-dev.
PlatinumGames,Japan,Osaka / Tokyo (Japan),2006,~300 range,unknown,https://www.platinumgames.com,press@platinumgames.com (press),action,Bayonetta 3; NieR: Automata; Astral Chain; Metal Gear Rising; Bayonetta 2; Wonderful 101; Bayonetta; NieR:Automata (development),unknown,office,independent (Tencent investment history),Character-action specialist; Bayonetta and NieR: Automata highlight reel.
PTW,Japan,Tokyo (+ global),1993,~5000+,QA / art / engineering,https://ptw.com,unknown,service,QA; player support; certification; QA / player support / certification; multiple AAA clients,unknown,global,private,QA and art service network.
Retro Studios,Japan,"Austin, TX (USA; Nintendo)",1998,~200+,Metroid Prime,https://www.retrostudios.com,press@noa.nintendo.com (press),action-adventure,Metroid Prime Remastered; Metroid Prime 4; Donkey Kong Country Returns; Metroid Prime; Donkey Kong Country Tropical Freeze,unknown,office,Nintendo,Nintendo's US first-party studio.
